Comunidad Autónoma,Center,Measure,Energy Saved,Money Saved,Investment,Pay back period
Madrid,Tres Cantos,Instalación Fotovoltaica,28977,9554,17100,1.8
Madrid,Tres Cantos,Reducción del consumo remanente,2716,895,250,0.3
Madrid,Valdemoro,Promover la cultura energética,1031,360,0,0
Madrid,Valdemoro,Sistema de Gestión Energética,1546,540,1295,2.4
Madrid,Valdemoro,Regulación de la temperatura de consigna,3805,1328,0,0
Madrid,Valdemoro,Reducción del consumo remanente,3700,1291,150,0
Murcia,Cartagena,Promover la cultura energética,446,148,0,0
Murcia,Cartagena,Instalación cortina de aire,995,331,1200,3.6
Murcia,Cartagena,Sistema de Gestión Energética,669,223,1295,5.8
Murcia,Cartagena,Instalación de temporizador digital en baño de parafina,969,322,20,0.1
Murcia,Cartagena,Mejora en el control de la iluminación,533,177,336,1.9
Murcia,Lorca,Promover la cultura energética,552,188,0,0
Murcia,Lorca,Reducción del consumo remanente,2908,992,90,0.1
Murcia,Lorca,Sistema de Gestión Energética,828,278,1295,4.7
Murcia,Lorca,Regulación de la temperatura de consigna,3636,1240,0,0
Murcia,Lorca,Instalación de temporizador digital en termo eléctrico,1238,422,60,0.1
Murcia,Murcia,Promover la cultura energética,2234,751,0,0
Murcia,Murcia,Instalación cortina de aire,3145,1056,2400,2.3
Murcia,Murcia,Sistema de Gestión Energética,3352,1126,2495,2.2
Murcia,Murcia,Eliminación de la energía reactiva,0,448,1491,3.3
Murcia,Murcia,Mejora en el control de la iluminación,1218,409,540,1.3

